,id,mnemonic,description,geoglevel,source
11,NM_1613_1,ks011a,This dataset is about Industry of Employment. It shows the Industry of Employment for all people aged 16 to 74 in employment. There are separate tables available giving the same information split by gender.,"oa,msoa,ward,la,region",census_2001_ks
12,NM_1614_1,ks011b,This dataset is about Industry of Employment. It shows the Industry of Employment for all males aged 16 to 74 in employment. There are separate tables available giving the same information for females and for all people.,"oa,msoa,ward,la,region",census_2001_ks
13,NM_1615_1,ks011c,This dataset is about Industry of Employment. It shows the Industry of Employment for all females aged 16 to 74 in employment. There are separate tables available giving the same information for males and for all people.,"oa,msoa,ward,la,region",census_2001_ks
14,NM_1616_1,ks012a,"This dataset is about Occupation. It shows all people aged 16 to 74 in employment, bu their occupation. It uses the top level (least detailed) of SOC2000 (Standard Occupation Classification). There are separate datasets available giving the same information for Males and Females.","oa,msoa,ward,la,region",census_2001_ks
15,NM_1617_1,ks012b,"This dataset is about Occupation. It shows all males aged 16 to 74 in employment, bu their occupation. It uses the top level (least detailed) of SOC2000 (Standard Occupation Classification). There are separate datasets available giving the same information for Females and All People.","oa,msoa,ward,la,region",census_2001_ks
16,NM_1618_1,ks012c,"This dataset is about Occupation. It shows all females aged 16 to 74 in employment, bu their occupation. It uses the top level (least detailed) of SOC2000 (Standard Occupation Classification). There are separate datasets available giving the same information for Males and All People.","oa,msoa,ward,la,region",census_2001_ks
17,NM_1619_1,ks013,"This dataset is about Qualifications and Students. Information within this dataset comes from responses to a number of questions relating to qualifications and whether people were full-time students or schoolchildren from the 2001 Census. The dataset also shows the number of students and schoolchildren in the area by age, and full-time students by economic activity.","oa,msoa,ward,la,region",census_2001_ks
18,NM_1620_1,ks014a,This dataset is about Socio-economic classification. It shows the usual resident population aged 16 to 74 by their socio-economic classification. The National Statistics Socio-economic Classification (NS-SeC) was introduced by the Government to replace Social Class based on Occupation and Socio-Economic Groups (SEG). The NS-SeC is an occupationally based classification but has rules to provide coverage of the whole adult population. The population of this dataset is all people aged 16 to 74. There are separate tables available giving the same information separately for Males and Females.,"oa,msoa,ward,la,region",census_2001_ks
19,NM_1621_1,ks014b,This dataset is about Socio-economic classification. It shows the usual resident population aged 16 to 74 by their socio-economic classification. The National Statistics Socio-economic Classification (NS-SeC) was introduced by the Government to replace Social Class based on Occupation and Socio-Economic Groups (SEG). The NS-SeC is an occupationally based classification but has rules to provide coverage of the whole adult population. The population of this dataset is all males aged 16 to 74. There are separate tables available giving the same information separately for All People and Females.,"oa,msoa,ward,la,region",census_2001_ks
20,NM_1622_1,ks014c,This dataset is about Socio-economic classification. It shows the usual resident population aged 16 to 74 by their socio-economic classification. The National Statistics Socio-economic Classification (NS-SeC) was introduced by the Government to replace Social Class based on Occupation and Socio-Economic Groups (SEG). The NS-SeC is an occupationally based classification but has rules to provide coverage of the whole adult population. The population of this dataset is all females aged 16 to 74. There are separate tables available giving the same information separately for All People and Males.,"oa,msoa,ward,la,region",census_2001_ks
21,NM_1623_1,ks015,"This dataset is about Travel to Work. It shows all people aged 16 to 74 in employment, by means of travel to work, average distance travelled to work, and the numbers of public transport users in households with and without cars or vans. The means of travel to work is that used for the longest part, by distance, of the usual journey to work. The distance travelled to work is the distance in kilometres of a straight line between the residence postcode and workplace postcode.","oa,msoa,ward,la,region",census_2001_ks
22,NM_1624_1,ks016,"This dataset is about Household Spaces and Accommodation Type. It shoes whether household spaces have residents, and if not whether they are vacant or second residences/holiday accommodation. It also shows the accommodation type of those household spaces, for example the whole of a terraced house, or a flat in a purpose-built block of flats.","oa,msoa,ward,la,region",census_2001_ks
23,NM_1625_1,ks017,"This dataset is about Cars or Vans. Information on the number of cars or vans is based on the number of cars or vans owned, or available for use, by one or more members of a household. It includes company cars and vans available for private use. The count of cars or vans in an area is based on details for private households only. Cars or vans used by residents of communal establishments are not counted. Households with 10 or more cars or vans are counted as having 10 cars or vans.","oa,msoa,ward,la,region",census_2001_ks
24,NM_1626_1,ks018,"This dataset is about Tenure. It shows all households by whether they own or rent their accommodation and, if rented, whether it is rented from the Council, Housing Association/Registered Social Landlord, Privately rented or Other","oa,msoa,ward,la,region",census_2001_ks
25,NM_1627_1,ks019,"This dataset is about Rooms, Amenities, Central Heating and Lowest Floor Level. It shows a range of information including average household size, the average number of rooms per household, amenities available to the household and the lowest floor level of the accommodation occupied by the household.","oa,msoa,ward,la,region",census_2001_ks
26,NM_1628_1,ks020,This dataset is about Household Composition. Households consisting of one family and no other people are classified according to the type of family and the number of dependent children. Other households are classified by the number of dependent children or whether all student or all pensioner. The population of the dataset is all households.,"oa,msoa,ward,la,region",census_2001_ks
27,NM_1629_1,ks021,"This dataset is about Households with limiting long-term illness and dependent children. It shows all households, and whether there are any adults in employment, whether there are dependent children in the household, and whether there are one or more people in the household with a limiting long-term illness.","oa,msoa,ward,la,region",census_2001_ks
28,NM_1630_1,ks022,"This dataset is about Lone Parent Households with Dependent Children. For the purposes of this dataset, a lone parent is defined as a parent with a dependent child living in a household with no other people (whether related to that dependent child or not). The dataset shows lone parebt households by whether the parent is male or female, and whether they are in part or full-time employment.","oa,msoa,ward,la,region",census_2001_ks
29,NM_1631_1,ks023,This dataset is about Communal Establishment Residents. A communal establishment is defined as an establishment providing managed residential accommodation. Managed means full-time or part-time supervision of the accommodation. This dataset gives information on residents by type of communal establishment,"oa,msoa,ward,la,region",census_2001_ks
30,NM_1632_1,ks024,"This dataset is about Migration. The information comes from responses to questions on the 2001 Census on residents usual address and the address one year ago. It shows the proportions of people who moved in and out of the area, together with some ethnic group information.The population of the table is all people. Given the nature of the information, there are separate files for the different levels of the geographical hierarchy.","oa,ward,la,region",census_2001_ks
31,NM_1633_1,ks025,"This dataset is about Knowledge of Welsh. It shows different categores of knowledge of Welsh such as understanding spoken Welsh only, and Speaks, reads and writes Welsh. The dataset is available for Wales only and covers all people aged 3 and over.","oa,msoa,ward,la,region",census_2001_ks
32,NM_1634_1,ks001,"This dataset is about Usual Resident Population.  It shows all people in England and Wales. In the 2001 Census information was collected for usual residents. A usual resident was generally defined as someone who spent most of their time at a specific address. This dataset shows both the 2001 population, the 1991 population, along with the rate of change, the split of the population between those living in households and those living in communal establishments, the size of the area in hectares, population density and the number of students away from home in the area","oa,msoa,ward,la,region",census_2001_ks
