,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,DEPCHILD_NAME,OBS_VALUE
29,2001,E02000631,2001 super output areas - middle layer,305,With dependent children - all ages,808
30,2001,E02000631,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,338
31,2001,E02000631,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,877
32,2001,E02000632,2001 super output areas - middle layer,305,All households,3316
33,2001,E02000632,2001 super output areas - middle layer,305,No adults in employment - with dependent children,175
34,2001,E02000632,2001 super output areas - middle layer,305,No adults in employment - without dependent children,559
35,2001,E02000632,2001 super output areas - middle layer,305,With dependent children - all ages,566
36,2001,E02000632,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,255
37,2001,E02000632,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,678
38,2001,E02000633,2001 super output areas - middle layer,305,All households,3466
39,2001,E02000633,2001 super output areas - middle layer,305,No adults in employment - with dependent children,298
40,2001,E02000633,2001 super output areas - middle layer,305,No adults in employment - without dependent children,899
41,2001,E02000633,2001 super output areas - middle layer,305,With dependent children - all ages,861
42,2001,E02000633,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,378
43,2001,E02000633,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,936
44,2001,E02000634,2001 super output areas - middle layer,305,All households,2820
45,2001,E02000634,2001 super output areas - middle layer,305,No adults in employment - with dependent children,224
46,2001,E02000634,2001 super output areas - middle layer,305,No adults in employment - without dependent children,733
47,2001,E02000634,2001 super output areas - middle layer,305,With dependent children - all ages,633
48,2001,E02000634,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,271
49,2001,E02000634,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,760
50,2001,E02000635,2001 super output areas - middle layer,305,All households,3103
51,2001,E02000635,2001 super output areas - middle layer,305,No adults in employment - with dependent children,319
52,2001,E02000635,2001 super output areas - middle layer,305,No adults in employment - without dependent children,678
53,2001,E02000635,2001 super output areas - middle layer,305,With dependent children - all ages,929
54,2001,E02000635,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,444
55,2001,E02000635,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,817
56,2001,E02000636,2001 super output areas - middle layer,305,All households,3152
57,2001,E02000636,2001 super output areas - middle layer,305,No adults in employment - with dependent children,110
58,2001,E02000636,2001 super output areas - middle layer,305,No adults in employment - without dependent children,546
59,2001,E02000636,2001 super output areas - middle layer,305,With dependent children - all ages,784
60,2001,E02000636,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,417
61,2001,E02000636,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,629
62,2001,E02000637,2001 super output areas - middle layer,305,All households,3505
63,2001,E02000637,2001 super output areas - middle layer,305,No adults in employment - with dependent children,152
64,2001,E02000637,2001 super output areas - middle layer,305,No adults in employment - without dependent children,772
65,2001,E02000637,2001 super output areas - middle layer,305,With dependent children - all ages,672
66,2001,E02000637,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,331
67,2001,E02000637,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,820
68,2001,E02000638,2001 super output areas - middle layer,305,All households,3511
69,2001,E02000638,2001 super output areas - middle layer,305,No adults in employment - with dependent children,326
70,2001,E02000638,2001 super output areas - middle layer,305,No adults in employment - without dependent children,952
71,2001,E02000638,2001 super output areas - middle layer,305,With dependent children - all ages,911
72,2001,E02000638,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,431
73,2001,E02000638,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1023
74,2001,E02000639,2001 super output areas - middle layer,305,All households,3502
75,2001,E02000639,2001 super output areas - middle layer,305,No adults in employment - with dependent children,444
76,2001,E02000639,2001 super output areas - middle layer,305,No adults in employment - without dependent children,804
77,2001,E02000639,2001 super output areas - middle layer,305,With dependent children - all ages,1148
78,2001,E02000639,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,569
79,2001,E02000639,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,937
80,2001,E02000640,2001 super output areas - middle layer,305,All households,4156
81,2001,E02000640,2001 super output areas - middle layer,305,No adults in employment - with dependent children,248
82,2001,E02000640,2001 super output areas - middle layer,305,No adults in employment - without dependent children,871
83,2001,E02000640,2001 super output areas - middle layer,305,With dependent children - all ages,952
84,2001,E02000640,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,476
85,2001,E02000640,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,984
86,2001,E02000641,2001 super output areas - middle layer,305,All households,3010
87,2001,E02000641,2001 super output areas - middle layer,305,No adults in employment - with dependent children,394
88,2001,E02000641,2001 super output areas - middle layer,305,No adults in employment - without dependent children,837
89,2001,E02000641,2001 super output areas - middle layer,305,With dependent children - all ages,1077
90,2001,E02000641,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,503
91,2001,E02000641,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,966
92,2001,E02000642,2001 super output areas - middle layer,305,All households,3492
93,2001,E02000642,2001 super output areas - middle layer,305,No adults in employment - with dependent children,207
94,2001,E02000642,2001 super output areas - middle layer,305,No adults in employment - without dependent children,872
95,2001,E02000642,2001 super output areas - middle layer,305,With dependent children - all ages,935
96,2001,E02000642,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,400
97,2001,E02000642,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,979
98,2001,E02000643,2001 super output areas - middle layer,305,All households,3461
99,2001,E02000643,2001 super output areas - middle layer,305,No adults in employment - with dependent children,214
100,2001,E02000643,2001 super output areas - middle layer,305,No adults in employment - without dependent children,778
101,2001,E02000643,2001 super output areas - middle layer,305,With dependent children - all ages,816
102,2001,E02000643,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,390
103,2001,E02000643,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,865
104,2001,E02000644,2001 super output areas - middle layer,305,All households,3228
105,2001,E02000644,2001 super output areas - middle layer,305,No adults in employment - with dependent children,220
106,2001,E02000644,2001 super output areas - middle layer,305,No adults in employment - without dependent children,658
107,2001,E02000644,2001 super output areas - middle layer,305,With dependent children - all ages,889
108,2001,E02000644,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,402
109,2001,E02000644,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,835
110,2001,E02000645,2001 super output areas - middle layer,305,All households,3580
111,2001,E02000645,2001 super output areas - middle layer,305,No adults in employment - with dependent children,200
112,2001,E02000645,2001 super output areas - middle layer,305,No adults in employment - without dependent children,814
113,2001,E02000645,2001 super output areas - middle layer,305,With dependent children - all ages,885
114,2001,E02000645,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,386
115,2001,E02000645,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,891
116,2001,E02000646,2001 super output areas - middle layer,305,All households,3408
117,2001,E02000646,2001 super output areas - middle layer,305,No adults in employment - with dependent children,127
118,2001,E02000646,2001 super output areas - middle layer,305,No adults in employment - without dependent children,803
119,2001,E02000646,2001 super output areas - middle layer,305,With dependent children - all ages,689
120,2001,E02000646,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,299
121,2001,E02000646,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,858
122,2001,E02000647,2001 super output areas - middle layer,305,All households,3402
123,2001,E02000647,2001 super output areas - middle layer,305,No adults in employment - with dependent children,170
124,2001,E02000647,2001 super output areas - middle layer,305,No adults in employment - without dependent children,833
125,2001,E02000647,2001 super output areas - middle layer,305,With dependent children - all ages,884
126,2001,E02000647,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,378
127,2001,E02000647,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,869
128,2001,E02000648,2001 super output areas - middle layer,305,All households,3328
129,2001,E02000648,2001 super output areas - middle layer,305,No adults in employment - with dependent children,382
130,2001,E02000648,2001 super output areas - middle layer,305,No adults in employment - without dependent children,978
131,2001,E02000648,2001 super output areas - middle layer,305,With dependent children - all ages,1074
132,2001,E02000648,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,477
133,2001,E02000648,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1077
134,2001,E02000649,2001 super output areas - middle layer,305,All households,4587
135,2001,E02000649,2001 super output areas - middle layer,305,No adults in employment - with dependent children,227
136,2001,E02000649,2001 super output areas - middle layer,305,No adults in employment - without dependent children,917
137,2001,E02000649,2001 super output areas - middle layer,305,With dependent children - all ages,952
138,2001,E02000649,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,485
139,2001,E02000649,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,996
140,2001,E02000650,2001 super output areas - middle layer,305,All households,3306
141,2001,E02000650,2001 super output areas - middle layer,305,No adults in employment - with dependent children,310
142,2001,E02000650,2001 super output areas - middle layer,305,No adults in employment - without dependent children,742
143,2001,E02000650,2001 super output areas - middle layer,305,With dependent children - all ages,996
144,2001,E02000650,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,396
145,2001,E02000650,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,946
146,2001,E02000651,2001 super output areas - middle layer,305,All households,3210
147,2001,E02000651,2001 super output areas - middle layer,305,No adults in employment - with dependent children,166
148,2001,E02000651,2001 super output areas - middle layer,305,No adults in employment - without dependent children,746
149,2001,E02000651,2001 super output areas - middle layer,305,With dependent children - all ages,854
150,2001,E02000651,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,377
151,2001,E02000651,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,811
152,2001,E02000652,2001 super output areas - middle layer,305,All households,2703
153,2001,E02000652,2001 super output areas - middle layer,305,No adults in employment - with dependent children,241
154,2001,E02000652,2001 super output areas - middle layer,305,No adults in employment - without dependent children,619
155,2001,E02000652,2001 super output areas - middle layer,305,With dependent children - all ages,1003
156,2001,E02000652,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,409
157,2001,E02000652,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,880
158,2001,E02000653,2001 super output areas - middle layer,305,All households,3047
159,2001,E02000653,2001 super output areas - middle layer,305,No adults in employment - with dependent children,408
160,2001,E02000653,2001 super output areas - middle layer,305,No adults in employment - without dependent children,662
161,2001,E02000653,2001 super output areas - middle layer,305,With dependent children - all ages,1100
162,2001,E02000653,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,489
163,2001,E02000653,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,866
164,2001,E02000654,2001 super output areas - middle layer,305,All households,2912
165,2001,E02000654,2001 super output areas - middle layer,305,No adults in employment - with dependent children,504
166,2001,E02000654,2001 super output areas - middle layer,305,No adults in employment - without dependent children,754
167,2001,E02000654,2001 super output areas - middle layer,305,With dependent children - all ages,1131
168,2001,E02000654,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,555
169,2001,E02000654,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,932
170,2001,E02000655,2001 super output areas - middle layer,305,All households,3420
171,2001,E02000655,2001 super output areas - middle layer,305,No adults in employment - with dependent children,334
172,2001,E02000655,2001 super output areas - middle layer,305,No adults in employment - without dependent children,707
173,2001,E02000655,2001 super output areas - middle layer,305,With dependent children - all ages,1014
174,2001,E02000655,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,493
175,2001,E02000655,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,929
176,2001,E02000656,2001 super output areas - middle layer,305,All households,3146
177,2001,E02000656,2001 super output areas - middle layer,305,No adults in employment - with dependent children,430
178,2001,E02000656,2001 super output areas - middle layer,305,No adults in employment - without dependent children,744
179,2001,E02000656,2001 super output areas - middle layer,305,With dependent children - all ages,1043
180,2001,E02000656,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,446
181,2001,E02000656,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,916
182,2001,E02000657,2001 super output areas - middle layer,305,All households,3094
183,2001,E02000657,2001 super output areas - middle layer,305,No adults in employment - with dependent children,298
184,2001,E02000657,2001 super output areas - middle layer,305,No adults in employment - without dependent children,660
185,2001,E02000657,2001 super output areas - middle layer,305,With dependent children - all ages,885
186,2001,E02000657,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,409
187,2001,E02000657,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,797
188,2001,E02000658,2001 super output areas - middle layer,305,All households,3055
189,2001,E02000658,2001 super output areas - middle layer,305,No adults in employment - with dependent children,249
190,2001,E02000658,2001 super output areas - middle layer,305,No adults in employment - without dependent children,762
191,2001,E02000658,2001 super output areas - middle layer,305,With dependent children - all ages,831
192,2001,E02000658,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,383
193,2001,E02000658,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,896
194,2001,E02000659,2001 super output areas - middle layer,305,All households,3287
195,2001,E02000659,2001 super output areas - middle layer,305,No adults in employment - with dependent children,254
196,2001,E02000659,2001 super output areas - middle layer,305,No adults in employment - without dependent children,742
197,2001,E02000659,2001 super output areas - middle layer,305,With dependent children - all ages,900
198,2001,E02000659,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,419
199,2001,E02000659,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,784
200,2001,E02000660,2001 super output areas - middle layer,305,All households,2752
201,2001,E02000660,2001 super output areas - middle layer,305,No adults in employment - with dependent children,200
202,2001,E02000660,2001 super output areas - middle layer,305,No adults in employment - without dependent children,639
203,2001,E02000660,2001 super output areas - middle layer,305,With dependent children - all ages,722
204,2001,E02000660,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,358
205,2001,E02000660,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,700
206,2001,E02000661,2001 super output areas - middle layer,305,All households,2989
207,2001,E02000661,2001 super output areas - middle layer,305,No adults in employment - with dependent children,114
208,2001,E02000661,2001 super output areas - middle layer,305,No adults in employment - without dependent children,839
209,2001,E02000661,2001 super output areas - middle layer,305,With dependent children - all ages,532
210,2001,E02000661,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,250
211,2001,E02000661,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,767
212,2001,E02000662,2001 super output areas - middle layer,305,All households,3080
213,2001,E02000662,2001 super output areas - middle layer,305,No adults in employment - with dependent children,304
214,2001,E02000662,2001 super output areas - middle layer,305,No adults in employment - without dependent children,659
215,2001,E02000662,2001 super output areas - middle layer,305,With dependent children - all ages,1056
216,2001,E02000662,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,491
217,2001,E02000662,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,854
218,2001,E02000663,2001 super output areas - middle layer,305,All households,2687
219,2001,E02000663,2001 super output areas - middle layer,305,No adults in employment - with dependent children,155
220,2001,E02000663,2001 super output areas - middle layer,305,No adults in employment - without dependent children,530
221,2001,E02000663,2001 super output areas - middle layer,305,With dependent children - all ages,741
222,2001,E02000663,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,325
223,2001,E02000663,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,678
224,2001,E02000664,2001 super output areas - middle layer,305,All households,3359
225,2001,E02000664,2001 super output areas - middle layer,305,No adults in employment - with dependent children,273
226,2001,E02000664,2001 super output areas - middle layer,305,No adults in employment - without dependent children,985
227,2001,E02000664,2001 super output areas - middle layer,305,With dependent children - all ages,789
228,2001,E02000664,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,370
229,2001,E02000664,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1077
230,2001,E02000665,2001 super output areas - middle layer,305,All households,2779
231,2001,E02000665,2001 super output areas - middle layer,305,No adults in employment - with dependent children,153
232,2001,E02000665,2001 super output areas - middle layer,305,No adults in employment - without dependent children,737
233,2001,E02000665,2001 super output areas - middle layer,305,With dependent children - all ages,711
234,2001,E02000665,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,327
235,2001,E02000665,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,798
236,2001,E02000666,2001 super output areas - middle layer,305,All households,2590
237,2001,E02000666,2001 super output areas - middle layer,305,No adults in employment - with dependent children,169
238,2001,E02000666,2001 super output areas - middle layer,305,No adults in employment - without dependent children,587
239,2001,E02000666,2001 super output areas - middle layer,305,With dependent children - all ages,796
240,2001,E02000666,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,357
241,2001,E02000666,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,755
242,2001,E02000667,2001 super output areas - middle layer,305,All households,2504
243,2001,E02000667,2001 super output areas - middle layer,305,No adults in employment - with dependent children,122
244,2001,E02000667,2001 super output areas - middle layer,305,No adults in employment - without dependent children,481
245,2001,E02000667,2001 super output areas - middle layer,305,With dependent children - all ages,838
246,2001,E02000667,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,337
247,2001,E02000667,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,664
248,2001,E02000668,2001 super output areas - middle layer,305,All households,2570
249,2001,E02000668,2001 super output areas - middle layer,305,No adults in employment - with dependent children,102
250,2001,E02000668,2001 super output areas - middle layer,305,No adults in employment - without dependent children,690
251,2001,E02000668,2001 super output areas - middle layer,305,With dependent children - all ages,700
252,2001,E02000668,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,321
253,2001,E02000668,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,737
254,2001,E02000669,2001 super output areas - middle layer,305,All households,2657
255,2001,E02000669,2001 super output areas - middle layer,305,No adults in employment - with dependent children,142
256,2001,E02000669,2001 super output areas - middle layer,305,No adults in employment - without dependent children,545
257,2001,E02000669,2001 super output areas - middle layer,305,With dependent children - all ages,621
258,2001,E02000669,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,297
259,2001,E02000669,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,650
260,2001,E02000670,2001 super output areas - middle layer,305,All households,2593
261,2001,E02000670,2001 super output areas - middle layer,305,No adults in employment - with dependent children,230
262,2001,E02000670,2001 super output areas - middle layer,305,No adults in employment - without dependent children,605
263,2001,E02000670,2001 super output areas - middle layer,305,With dependent children - all ages,821
264,2001,E02000670,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,368
265,2001,E02000670,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,724
266,2001,E02000671,2001 super output areas - middle layer,305,All households,3308
267,2001,E02000671,2001 super output areas - middle layer,305,No adults in employment - with dependent children,168
268,2001,E02000671,2001 super output areas - middle layer,305,No adults in employment - without dependent children,806
269,2001,E02000671,2001 super output areas - middle layer,305,With dependent children - all ages,933
270,2001,E02000671,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,414
271,2001,E02000671,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,966
272,2001,E02000672,2001 super output areas - middle layer,305,All households,3303
273,2001,E02000672,2001 super output areas - middle layer,305,No adults in employment - with dependent children,221
274,2001,E02000672,2001 super output areas - middle layer,305,No adults in employment - without dependent children,830
275,2001,E02000672,2001 super output areas - middle layer,305,With dependent children - all ages,898
276,2001,E02000672,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,399
277,2001,E02000672,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,956
278,2001,E02000673,2001 super output areas - middle layer,305,All households,3325
279,2001,E02000673,2001 super output areas - middle layer,305,No adults in employment - with dependent children,158
280,2001,E02000673,2001 super output areas - middle layer,305,No adults in employment - without dependent children,727
281,2001,E02000673,2001 super output areas - middle layer,305,With dependent children - all ages,933
282,2001,E02000673,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,397
283,2001,E02000673,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,784
284,2001,E02000674,2001 super output areas - middle layer,305,All households,3028
285,2001,E02000674,2001 super output areas - middle layer,305,No adults in employment - with dependent children,148
286,2001,E02000674,2001 super output areas - middle layer,305,No adults in employment - without dependent children,688
287,2001,E02000674,2001 super output areas - middle layer,305,With dependent children - all ages,1071
288,2001,E02000674,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,420
289,2001,E02000674,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,841
290,2001,E02000675,2001 super output areas - middle layer,305,All households,3354
291,2001,E02000675,2001 super output areas - middle layer,305,No adults in employment - with dependent children,190
292,2001,E02000675,2001 super output areas - middle layer,305,No adults in employment - without dependent children,876
293,2001,E02000675,2001 super output areas - middle layer,305,With dependent children - all ages,923
294,2001,E02000675,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,369
295,2001,E02000675,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,969
296,2001,E02000676,2001 super output areas - middle layer,305,All households,3058
297,2001,E02000676,2001 super output areas - middle layer,305,No adults in employment - with dependent children,179
298,2001,E02000676,2001 super output areas - middle layer,305,No adults in employment - without dependent children,688
299,2001,E02000676,2001 super output areas - middle layer,305,With dependent children - all ages,959
300,2001,E02000676,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,458
301,2001,E02000676,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,900
302,2001,E02000677,2001 super output areas - middle layer,305,All households,2515
303,2001,E02000677,2001 super output areas - middle layer,305,No adults in employment - with dependent children,115
304,2001,E02000677,2001 super output areas - middle layer,305,No adults in employment - without dependent children,621
305,2001,E02000677,2001 super output areas - middle layer,305,With dependent children - all ages,811
306,2001,E02000677,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,323
307,2001,E02000677,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,755
308,2001,E02000678,2001 super output areas - middle layer,305,All households,2496
309,2001,E02000678,2001 super output areas - middle layer,305,No adults in employment - with dependent children,207
310,2001,E02000678,2001 super output areas - middle layer,305,No adults in employment - without dependent children,693
311,2001,E02000678,2001 super output areas - middle layer,305,With dependent children - all ages,861
312,2001,E02000678,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,390
313,2001,E02000678,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,813
314,2001,E02000679,2001 super output areas - middle layer,305,All households,3155
315,2001,E02000679,2001 super output areas - middle layer,305,No adults in employment - with dependent children,245
316,2001,E02000679,2001 super output areas - middle layer,305,No adults in employment - without dependent children,830
317,2001,E02000679,2001 super output areas - middle layer,305,With dependent children - all ages,1003
318,2001,E02000679,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,441
319,2001,E02000679,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,919
320,2001,E02000680,2001 super output areas - middle layer,305,All households,2924
321,2001,E02000680,2001 super output areas - middle layer,305,No adults in employment - with dependent children,305
322,2001,E02000680,2001 super output areas - middle layer,305,No adults in employment - without dependent children,825
323,2001,E02000680,2001 super output areas - middle layer,305,With dependent children - all ages,944
324,2001,E02000680,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,411
325,2001,E02000680,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,839
326,2001,E02000681,2001 super output areas - middle layer,305,All households,3119
327,2001,E02000681,2001 super output areas - middle layer,305,No adults in employment - with dependent children,261
328,2001,E02000681,2001 super output areas - middle layer,305,No adults in employment - without dependent children,954
329,2001,E02000681,2001 super output areas - middle layer,305,With dependent children - all ages,990
330,2001,E02000681,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,400
331,2001,E02000681,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1117
332,2001,E02000682,2001 super output areas - middle layer,305,All households,3014
333,2001,E02000682,2001 super output areas - middle layer,305,No adults in employment - with dependent children,329
334,2001,E02000682,2001 super output areas - middle layer,305,No adults in employment - without dependent children,943
335,2001,E02000682,2001 super output areas - middle layer,305,With dependent children - all ages,1097
336,2001,E02000682,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,454
337,2001,E02000682,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1119
338,2001,E02000683,2001 super output areas - middle layer,305,All households,2761
339,2001,E02000683,2001 super output areas - middle layer,305,No adults in employment - with dependent children,256
340,2001,E02000683,2001 super output areas - middle layer,305,No adults in employment - without dependent children,827
341,2001,E02000683,2001 super output areas - middle layer,305,With dependent children - all ages,880
342,2001,E02000683,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,380
343,2001,E02000683,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,913
344,2001,E02000684,2001 super output areas - middle layer,305,All households,3004
345,2001,E02000684,2001 super output areas - middle layer,305,No adults in employment - with dependent children,347
346,2001,E02000684,2001 super output areas - middle layer,305,No adults in employment - without dependent children,887
347,2001,E02000684,2001 super output areas - middle layer,305,With dependent children - all ages,1134
348,2001,E02000684,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,487
349,2001,E02000684,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1052
350,2001,E02000685,2001 super output areas - middle layer,305,All households,3412
351,2001,E02000685,2001 super output areas - middle layer,305,No adults in employment - with dependent children,354
352,2001,E02000685,2001 super output areas - middle layer,305,No adults in employment - without dependent children,924
353,2001,E02000685,2001 super output areas - middle layer,305,With dependent children - all ages,1038
354,2001,E02000685,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,422
355,2001,E02000685,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1019
