MSOA,Gentrification,Top 1 Column Name,Top 1 Column Importance,Top 2 Column Name,Top 2 Column Importance,Top 3 Column Name,Top 3 Column Importance
E02000019,39,UK Identity: Cornish and British only identity,79,UK Identity: Irish only identity,70,Ethnic Group: Other ethnic group,32
E02000020,75,Medical and care establishment:Registered Social Landlord or Housing Association,75,Highest Level of Qualification: Apprenticeship,71,UK Identity: Non-UK identity only,39
E02000021,-87,Age: 20 to 24,77,Industry: C: Manufacturing,65,Unpaid Care: Provides 50 or more hours unpaid care a week,35
E02000022,54,Part-time: 16 to 30 hours worked,98,Transport to Work: Driving a car or van,68,"Transport to Work: Underground, metro, light rail, tram",29
E02000023,38,"Passport: Europe, Non-EU",96,"Household Spaces: Flat, maisonette or apartment: In a commercial building",73,Single family household: Married or civil partnership couple: All children non-dependent,27
E02000024,-21,Religion: Not answered,75,UK Identity: Scottish only identity,62,Transport to Work: On foot,40
E02000025,-95,Part-time: 16 to 30 hours worked,97,Living in a couple: Cohabiting,70,Passport: British Overseas Territories,43
E02000026,-66,Vehicles: 2 cars or vans in household,78,Religion: No religion,66,Religion: Not answered,38
E02000027,16,Health Status: Good health,95,Passport: British Overseas Territories,51,Living in a couple: Cohabiting,44
E02000028,59,Position: Full-time students,92,UK Identity: Northern Irish and British only identity,58,Religion: Hindu,27
E02000029,57,Religion: Christian,89,Industry: H: Transport and storage,53,Transport to Work: Bicycle,49
E02000030,95,Occupation: Skilled trades occupations,95,Marital Status: Widowed or surviving civil partnership partner,72,Highest Level of Qualification: Other qualifications,30
E02000031,84,UK Identity: Scottish and British only identity,79,Health Status: Fair health,63,"Industry: D: Electricity, gas, steam and air conditioning supply",47
E02000032,41,Economic Activity: Economically inactive: Looking after home or family,89,"Main Language: No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",68,Ethnic Group: Mixed or Multiple ethnic groups,30
E02000033,-1,Highest Level of Qualification: Level 2 qualifications,81,Transport to Work: On foot,52,UK Identity: Welsh and British only identity,37
E02000034,-20,Highest Level of Qualification: Level 2 qualifications,82,Transport to Work: Passenger in a car or van,52,Vehicles: 3 or more cars or vans in household,26
E02000035,-40,"Industry: E:  Water supply; Sewerage, Waste management and Remediation activities",81,Passport: UK,64,Single family household: Lone parent family: With dependent children,26
E02000036,35,"Main Language: All adults in household have English in England, or English or Welsh in Wales as a main language",95,Disabled under the Equality Act: Day-to-day activities limited a lot,50,Economic Activity: Economically inactive: Other,25
E02000037,32,Ethnic Group: Other ethnic group,87,Ethnic Group: White,51,Marital Status: Divorced or civil partnership dissolved,34
E02000038,-28,Highest Level of Qualification: Level 1 and entry level qualifications,76,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),72,Age: 15 to 19,28
E02000039,79,Not living in a couple,77,Part-time: 15 hours or less worked,60,Ownership: Social rented: Other social rented,29
E02000040,5,UK Identity: English only identity,98,Highest Level of Qualification: Apprenticeship,70,Employment: Never worked,49
E02000041,-15,Economic Activity: Economically active,78,Living in a couple: Cohabiting,65,Not living in a couple: Widowed or surviving partner from a civil partnership,41
E02000042,-4,"Household Spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",78,"Transport to Work: Motorcycle, scooter or moped",59,Passport: Middle East and Asia,49
E02000043,81,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,94,Medical and care establishment: Local Authority: Care home or other home,54,Ownership: Shared ownership,45
E02000044,-69,UK Identity: Northern Irish and British only identity,97,Highest Level of Qualification: Level 2 qualifications,64,Age: 60 to 64,36
E02000045,81,Age: 65 to 74,78,Ethnic Group: Mixed or Multiple ethnic groups,73,Economic Activity: Economically inactive: Student (including full-time students),44
E02000046,54,Economic Activity: Economically active: Full-time student,89,Health Status: Good health,65,Religion: Not answered,32
E02000047,5,Occupation: Professional occupations,99,"Position: Higher managerial, administrative and professional occupations",53,"Household Spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",35
E02000048,10,"Main Language: No people in household have English in England, or English or Welsh in Wales as a main language",99,Economic Activity: Economically inactive,52,Disabled under the Equality Act: Day-to-day activities limited a little,27
E02000049,-3,Single family household: Lone parent family: With dependent children,89,Religion: Not answered,57,Passport: Central and South America,28
E02000050,22,"Main Language: No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",77,Medical and care establishment: Local Authority: Children's home (including secure units),54,Passport: No passport,49
E02000051,-91,Industry: L: Real estate activities,87,"Industry: D: Electricity, gas, steam and air conditioning supply",62,Disabled under the Equality Act: Day-to-day activities limited a little,31
E02000052,74,Economic Activity: Economically active: Self-employed,95,Economic Activity: Economically active: Self-employed,51,Medical and care establishment: NHS: Other hospital,27
E02000053,27,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),76,"Position: Higher managerial, administrative and professional occupations",74,Unpaid Care: Provides 50 or more hours unpaid care a week,39
E02000054,52,Passport: North America and the Caribbean,96,"Passport: Europe, EU",53,Highest Level of Qualification: Level 3 qualifications,49
E02000055,80,Part-time: 16 to 30 hours worked,87,Highest Level of Qualification: Level 2 qualifications,55,Marital Status: Never married and never registered a civil partnership,42
E02000056,52,"Transport to Work: Motorcycle, scooter or moped",78,Passport: UK,71,Not living in a couple: Widowed or surviving partner from a civil partnership,42
E02000057,31,Age: 10 to 14,76,"Industry: M: Professional, scientific and technical activities",64,"Passport: Europe, Non-EU",35
E02000058,50,Industry: N: Administrative and support service activities,99,Position: Intermediate occupations,52,Occupation: Professional occupations,39
E02000059,-22,"Transport to Work: Motorcycle, scooter or moped",77,Religion: Muslim,68,"Occupation: Process, plant and machine operatives",45
E02000060,7,Medical and care establishment: Other: Care home with nursing,84,Position: Intermediate occupations,63,Unpaid Care: Provides 1 to 19 hours unpaid care a week,41
E02000061,47,Total annual income (£),96,Household Spaces: Caravan or other mobile or temporary structure,66,Position: Full-time students,35
E02000062,91,Vehicles: 1 car or van in household,86,Single family household: All aged 66 years and over,72,"Industry: M: Professional, scientific and technical activities",28
E02000063,58,Passport: British Overseas Territories,99,UK Identity: Irish and at least one UK identity,63,Age: 0 to 4,46
E02000064,92,Occupation: Professional occupations,90,Transport to Work: Passenger in a car or van,61,Occupation: Skilled trades occupations,35
E02000065,10,Median house price,78,Passport: North America and the Caribbean,60,Position: Small employers and own account workers,27
E02000066,8,Single family household: Married or civil partnership couple: All children non-dependent,84,Highest Level of Qualification: Level 3 qualifications,69,One-person household: Aged 66 years and over,32
E02000067,65,Single family household,76,Religion: Buddhist,72,Economic Activity: Economically inactive: Student (including full-time students),31
E02000068,59,Ownership: Lives rent free,75,Age: 75 to 84,53,Unpaid Care: Provides no unpaid care,47
E02000069,-57,Occupancy rating (rooms) of -1 or less,99,Economic Activity: Economically inactive: Student (including full-time students),60,Position: Intermediate occupations,44
E02000070,-85,"Occupation: Caring, leisure and other service occupations",83,"Ethnic Group: Asian, Asian British or Asian Welsh",55,"Main Language: All adults in household have English in England, or English or Welsh in Wales as a main language",36
E02000071,-50,Highest Level of Qualification: Level 1 and entry level qualifications,80,Highest Level of Qualification: Other qualifications,66,Part-time: 15 hours or less worked,43
E02000072,-50,Occupancy rating (rooms) of -1 or less,97,Religion: Sikh,55,Position: Semi-routine occupations,48
E02000073,-49,Age: 45 to 59,79,Single family household: All aged 66 years and over,64,Medical and care establishment: Other: Care home without nursing,31
E02000074,48,Sex: Males,83,Ownership: Social rented: Rents from council or Local Authority,74,UK Identity: Scottish only identity,49
E02000075,24,Medical and care establishment: NHS: General hospital,95,"Transport to Work: Underground, metro, light rail, tram",57,Economic Activity: Economically active: Employee: Full-time,43
E02000077,96,Marital Status: Widowed or surviving civil partnership partner,86,Economic Activity: Economically inactive,68,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),39
E02000078,-91,Industry: L: Real estate activities,92,Passport: UK,69,Transport to Work: Passenger in a car or van,27
E02000079,48,Passport: British Overseas Territories,87,Vehicles: 1 car or van in household,66,Marital Status: Widowed or surviving civil partnership partner,30
E02000080,-94,"Marital Status: Separated, but still legally married or still legally in a civil partnership",79,Economic Activity: Economically inactive: Looking after home or family,71,Occupation: Associate professional and technical occupations,43
E02000081,-36,Welsh: Can speak and read but cannot write Welsh,97,Age: 16 years and over,67,Other household types: With dependent children,44
E02000082,82,Age: 5 to 9,82,Ownership: Owned: Owns outright,55,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),44
E02000083,72,Ownership: Owned: Owns with a mortgage or loan,79,Passport: British Overseas Territories,55,Single family household: Married or civil partnership couple: Dependent children,34
E02000084,56,Religion: Hindu,77,Passport: Ireland,60,"Transport to Work: Bus, minibus or coach",40
E02000085,45,Passport: Antarctica and Oceania,97,Religion: Christian,74,Ownership: Social rented: Rents from council or Local Authority,39
E02000086,60,Vehicles: 2 cars or vans in household,86,Position: Intermediate occupations,52,Household Spaces: Caravan or other mobile or temporary structure,32
E02000087,-82,Transport to Work: Driving a car or van,97,Medical and care establishment: NHS: General hospital,55,Welsh: No skills in Welsh,43
E02000088,-24,UK Identity: Other identity and at least one UK identity,83,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,68,"Position: Lower managerial, administrative and professional occupations",47
E02000089,23,Passport: Middle East and Asia,94,Age: 45 to 59,74,Single family household: All aged 66 years and over,29
E02000090,-67,Religion: Buddhist,95,Ethnic Group: White,51,Industry: C: Manufacturing,48
E02000091,-40,"Marital Status: Separated, but still legally married or still legally in a civil partnership",85,Transport to Work: Passenger in a car or van,69,Median house price,39
E02000092,-81,UK Identity: Northern Irish only identity,82,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),57,Highest Level of Qualification: Other qualifications,45
E02000093,-1,Occupation: Elementary occupations,91,Residency: Lives in a communal establishment,60,"Main Language: All adults in household have English in England, or English or Welsh in Wales as a main language",46
E02000094,-90,Economic Activity: Economically inactive: Looking after home or family,94,Health Status: Very bad health,53,Disabled under the Equality Act: Day-to-day activities limited a lot,30
E02000095,-95,"Main Language: No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",84,UK Identity: Welsh only identity,57,Transport to Work: Bicycle,43
E02000096,5,Ownership: Social rented: Other social rented,93,"Household Spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement",50,"Main Language: No people in household have English in England, or English or Welsh in Wales as a main language",38
E02000097,0,Highest Level of Qualification: Level 3 qualifications,91,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,66,Passport: Antarctica and Oceania,43
E02000098,90,Full-time: 31 to 48 hours worked,99,"Household Spaces: Flat, maisonette or apartment: In a commercial building",58,Part-time: 16 to 30 hours worked,27
E02000099,-91,Economic Activity: Economically active: Employee: Part-time,98,UK Identity: Other identity and at least one UK identity,56,UK Identity: Northern Irish and British only identity,43
E02000100,-75,Highest Level of Qualification: Apprenticeship,88,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,68,Medical and care establishment: Local Authority: Care home or other home,30
E02000101,-18,Vehicles: No cars or vans in household,92,Transport to Work: Work mainly at or from home,61,Economic Activity: Economically inactive: Other,48
E02000102,-31,Religion: Other religion,80,Sex: Females,58,Total annual income (£),42
E02000103,53,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,77,Religion: No religion,66,Industry: I: Accommodation and food service activities,25
E02000104,-80,Transport to Work: Driving a car or van,75,Economic Activity: Economically inactive: Looking after home or family,69,Religion: Buddhist,41
E02000105,16,Religion: Muslim,98,Vehicles: 2 cars or vans in household,59,Position: Lower supervisory and technical occupations,48
E02000106,32,Not living in a couple: Married or in a registered civil partnership,87,Medical and care establishment: Other: Children's home (including secure units),74,Health Status: Very good health,41
E02000107,-4,Passport: British Overseas Territories,80,Transport to Work: On foot,58,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),44
E02000108,-48,Age: 30 to 44,93,Vehicles: 2 cars or vans in household,62,Passport: No passport,29
E02000109,-11,Position: Lower supervisory and technical occupations,98,Single family household: All aged 66 years and over,69,Living in a couple: Married or in a civil partnership,43
E02000110,-20,Not living in a couple: Widowed or surviving partner from a civil partnership,87,Religion: Hindu,58,Highest Level of Qualification: Level 1 and entry level qualifications,26
E02000111,-79,Religion: Sikh,80,Industry: Q: Human health and social work activities,69,"Transport to Work: Underground, metro, light rail, tram",25
E02000112,-29,Position: Never worked and long-term unemployed,97,One-person household: Aged 66 years and over,53,Transport to Work: Bicycle,40
E02000113,-18,Part-time: 16 to 30 hours worked,92,Industry: C: Manufacturing,73,Passport: Africa,25
E02000114,50,Economic Activity: Economically active: Self-employed,99,Religion: Hindu,50,Industry: Q: Human health and social work activities,25
E02000115,-14,Ownership: Lives rent free,85,Medical and care establishment: Other: Care home with nursing,56,Economic Activity: Economically inactive: Looking after home or family,31
E02000116,-74,Industry: P: Education,98,Full-time: 31 to 48 hours worked,66,Position: Routine occupations,27
E02000117,-33,Unpaid Care: Provides 1 to 19 hours unpaid care a week,99,Health Status: Very good health,69,Total annual income (£),48
E02000118,-1,Position: Semi-routine occupations,96,Not living in a couple: Married or in a registered civil partnership,73,Economic Activity: Economically inactive: Other,29
E02000119,41,UK Identity: English only identity,75,Highest Level of Qualification: Level 4 qualifications or above,54,Ethnic Group: Mixed or Multiple ethnic groups,39
E02000120,7,Sex: Females,82,Medical and care establishment: NHS: Other hospital,51,Part-time: 16 to 30 hours worked,28
E02000121,-60,Household Spaces: Whole house or bungalow: Detached,85,Transport to Work: Taxi,74,Position: Intermediate occupations,33
E02000122,-44,Ownership: Social rented: Other social rented,98,Age: 20 to 24,62,Economic Activity: Economically active: Self-employed,46
E02000123,95,Transport to Work: Taxi,91,UK Identity: Non-UK identity only,59,Marital Status: Never married and never registered a civil partnership,33
E02000124,-18,Medical and care establishment:Registered Social Landlord or Housing Association,92,Highest Level of Qualification: Level 2 qualifications,55,Full-time: 31 to 48 hours worked,40
E02000125,-13,UK Identity: Irish only identity,96,Single family household: Married or civil partnership couple: Dependent children,51,Vehicles: 2 cars or vans in household,26
E02000126,18,Full-time: 31 to 48 hours worked,83,Highest Level of Qualification: Level 2 qualifications,74,Transport to Work: Taxi,35
E02000127,4,Economic Activity: Economically inactive: Other,77,Economic Activity: Economically inactive: Long-term sick or disabled,68,Medical and care establishment: NHS: Mental health hospital or unit (including secure units),46
E02000128,-21,Welsh: Other combination of skills in Welsh,93,Not living in a couple,74,Unpaid Care: Provides no unpaid care,41
E02000130,87,Disabled under the Equality Act: Day-to-day activities limited a lot,78,Highest Level of Qualification: Level 1 and entry level qualifications,53,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),38
E02000131,-8,Not living in a couple: Single (never married and never registered a civil partnership),91,UK Identity: Northern Irish only identity,52,Full-time: 49 or more hours worked,41
E02000132,86,Medical and care establishment:Registered Social Landlord or Housing Association,77,Industry: P: Education,50,"Household Spaces: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",29
E02000133,70,Medical and care establishment: Local Authority: Children's home (including secure units),76,Age: 5 to 9,64,Sex: Females,49
E02000134,87,UK Identity: Non-UK identity only,86,Passport: No passport,63,Occupation: Elementary occupations,30
E02000135,91,"Main Language: No people in household have English in England, or English or Welsh in Wales as a main language",82,UK Identity: Northern Irish only identity,67,Single family household: All aged 66 years and over,49
E02000136,99,"Position: Higher managerial, administrative and professional occupations",92,Position: Full-time students,57,"Occupation: Process, plant and machine operatives",47
E02000137,63,Living in a couple: Cohabiting,85,Transport to Work: On foot,51,Occupation: Elementary occupations,31
E02000138,-45,"Household Spaces: Flat, maisonette or apartment: In a commercial building",94,Welsh: Other combination of skills in Welsh,61,Transport to Work: Taxi,37
E02000139,-74,"Industry: R, S, T, U Other",77,Single family household,68,Age: 45 to 59,25
E02000140,14,Occupation: Sales and customer service occupations,93,Economic Activity: Economically active: Full-time student,67,Highest Level of Qualification: Level 3 qualifications,32
E02000141,10,Total annual income (£),95,Highest Level of Qualification: Level 4 qualifications or above,69,Health Status: Very good health,49
E02000142,89,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),94,Passport: No passport,71,Industry: P: Education,41
E02000144,-34,Occupation: Administrative and secretarial occupations,93,Passport: Antarctica and Oceania,71,Vehicles: 3 or more cars or vans in household,44
E02000145,6,Highest Level of Qualification: Level 4 qualifications or above,81,Age: 5 to 9,65,Economic Activity: Economically active: Unemployed,40
E02000146,-15,Position: Semi-routine occupations,82,Industry: H: Transport and storage,68,Industry: C: Manufacturing,27
E02000147,-15,Median house price,93,Health Status: Fair health,68,Full-time: 49 or more hours worked,31
E02000148,-13,Economic Activity: Economically active: Full-time student,97,"Occupation: Caring, leisure and other service occupations",64,Position: Semi-routine occupations,28
E02000149,87,Transport to Work: Work mainly at or from home,99,Welsh: Can speak Welsh,72,Ownership: Shared ownership,44
E02000150,29,"Transport to Work: Motorcycle, scooter or moped",80,Single family household,55,Single family household: Cohabiting couple family: No children,46
E02000151,-43,Medical and care establishment: NHS: General hospital,86,"Industry: M: Professional, scientific and technical activities",62,Unpaid Care: Provides 50 or more hours unpaid care a week,44
E02000152,-69,Health Status: Good health,98,Unpaid Care: Provides 50 or more hours unpaid care a week,50,Industry: C: Manufacturing,26
E02000153,-4,UK Identity: Cornish and British only identity,97,"Industry: R, S, T, U Other",59,Health Status: Bad health,32
E02000154,-97,Industry: J: Information and communication,99,Economic Activity: Economically inactive: Long-term sick or disabled,69,Transport to Work: Train,26
E02000155,-65,Industry: Q: Human health and social work activities,79,Living in a couple,61,Health Status: Fair health,42
E02000156,21,Ethnic Group: Other ethnic group,78,UK Identity: Northern Irish and British only identity,55,Full-time: 31 to 48 hours worked,36
E02000157,-40,Industry: N: Administrative and support service activities,82,Position: Lower supervisory and technical occupations,66,UK Identity: Other identity and at least one UK identity,28
E02000158,-21,Economic Activity: Economically inactive,88,Health Status: Bad health,65,Single family household: Lone parent family: All children non-dependent,28
E02000159,67,Occupation: Sales and customer service occupations,85,Health Status: Good health,50,Age: 0 to 4,34
E02000160,-54,Occupation: Sales and customer service occupations,90,Sex: Males,66,Single family household: Lone parent family: With dependent children,46
E02000161,-55,Economic Activity: Economically inactive: Student (including full-time students),92,Household Spaces: Caravan or other mobile or temporary structure,65,Age: 15 to 19,48
E02000162,-43,Ethnic Group: Mixed or Multiple ethnic groups,85,One-person household: Other,56,Medical and care establishment:Other,43
E02000163,-80,Economic Activity: Economically active: Full-time student,89,Single family household: Cohabiting couple family: No children,51,Unpaid Care: Provides no unpaid care,39
E02000165,-10,Household Spaces: Caravan or other mobile or temporary structure,82,Age: 75 to 84,57,Living in a couple: Cohabiting,26
E02000166,81,Part-time: 16 to 30 hours worked,84,Transport to Work: Driving a car or van,68,Industry: O: Public administration and defence; compulsory social security,43
E02000167,-80,"Main Language: No people in household have English in England, or English or Welsh in Wales as a main language",81,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,59,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),46
E02000168,-93,Age: 5 to 9,87,Vehicles: No cars or vans in household,61,Industry: N: Administrative and support service activities,44
E02000169,1,Vehicles: 3 or more cars or vans in household,88,Age: 5 to 9,54,UK Identity: Cornish only identity,37
E02000170,-58,"Passport: Europe, Non-EU",84,Residency: Average number of bedrooms per household,62,Vehicles: No cars or vans in household,48
E02000171,-62,Welsh: Can speak Welsh,84,"Industry: E:  Water supply; Sewerage, Waste management and Remediation activities",71,UK Identity: Cornish and British only identity,47
E02000172,-20,Religion: Other religion,78,Employment: Never worked,59,"Industry: M: Professional, scientific and technical activities",48
E02000173,-15,Household Spaces: Caravan or other mobile or temporary structure,83,Passport: Antarctica and Oceania,56,Industry: L: Real estate activities,46
E02000174,87,Vehicles: 1 car or van in household,91,"Main Language: At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",64,Ownership: Social rented: Rents from council or Local Authority,41
E02000175,57,Medical and care establishment: Other: Care home with nursing,98,UK Identity: Scottish and British only identity,52,Passport: Africa,45
E02000176,-66,Occupation: Elementary occupations,76,UK Identity: Cornish only identity,70,Not living in a couple: Widowed or surviving partner from a civil partnership,35
E02000177,-31,Passport: Central and South America,80,Unpaid Care: Provides no unpaid care,60,Medical and care establishment: Other: Care home without nursing,34
E02000178,72,Transport to Work: Taxi,84,Economic Activity: Economically inactive: Retired,56,UK Identity: Other identity and at least one UK identity,46
E02000179,99,Age: 15 to 19,89,Unpaid Care: Provides 50 or more hours unpaid care a week,59,Not living in a couple: Single (never married and never registered a civil partnership),47
E02000180,89,"Main Language: At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",93,UK Identity: Scottish and British only identity,62,Full-time: 31 to 48 hours worked,28
E02000181,-76,Single family household: Lone parent family: With dependent children,85,Economic Activity: Economically inactive: Student (including full-time students),58,Passport: North America and the Caribbean,29
E02000182,38,Living in a couple,88,Religion: Muslim,65,Unpaid Care: Provides 1 to 19 hours unpaid care a week,40
E02000183,37,Passport: British Overseas Territories,99,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,67,Residency: Lives in a communal establishment,32
E02000184,-26,Transport to Work: Taxi,95,Household Spaces: Whole house or bungalow: Terraced (including end-terrace),65,Ownership: Lives rent free,34
E02000185,6,Health Status: Very bad health,88,Passport: Ireland,53,UK Identity: Irish and at least one UK identity,30
E02000186,-2,"Position: Higher managerial, administrative and professional occupations",86,Medical and care establishment: Other: Children's home (including secure units),72,UK Identity: Irish only identity,25
E02000187,50,UK Identity: Welsh only identity,77,Vehicles: 1 car or van in household,74,Ownership: Shared ownership,42
E02000188,72,One-person household: Aged 66 years and over,87,Highest Level of Qualification: Apprenticeship,65,UK Identity: Northern Irish and British only identity,38
E02000189,-87,Ethnic Group: Mixed or Multiple ethnic groups,75,Employment: Never worked,54,Age: 30 to 44,41
E02000190,70,Occupancy rating (rooms) of -1 or less,80,One-person household: Other,52,Occupation: Skilled trades occupations,48
E02000191,67,Economic Activity: Economically active: In employment,98,Disabled under the Equality Act: Day-to-day activities limited a little,64,UK Identity: Welsh only identity,46
E02000192,33,Age: 75 to 84,82,Medical and care establishment:Registered Social Landlord or Housing Association,70,Health Status: Very bad health,47
E02000193,-27,Medical and care establishment: NHS: Other hospital,95,Industry: C: Manufacturing,72,Residency: Average number of bedrooms per household,45
E02000194,-78,Religion: Jewish,75,Health Status: Bad health,58,One-person household: Aged 66 years and over,47
E02000195,-82,Passport: Ireland,97,Part-time: 15 hours or less worked,69,Industry: O: Public administration and defence; compulsory social security,45
E02000196,-84,Medical and care establishment:Registered Social Landlord or Housing Association,93,UK Identity: Scottish and British only identity,64,"Industry: M: Professional, scientific and technical activities",43
E02000197,84,Passport: Middle East and Asia,82,Marital Status: Divorced or civil partnership dissolved,51,Single family household: Cohabiting couple family: No children,32
E02000198,-81,Age: 0 to 4,96,"Industry: D: Electricity, gas, steam and air conditioning supply",69,Passport: Central and South America,32
E02000199,68,Other household types: With dependent children,92,Passport: UK,70,Age: 20 to 24,34
E02000200,20,Transport to Work: Bicycle,87,UK Identity: English only identity,56,Religion: Other religion,43
E02000201,50,"Household Spaces: Flat, maisonette or apartment: Purpose-built block of flats or tenement",84,Occupation: Associate professional and technical occupations,57,UK Identity: English only identity,26
E02000202,-81,Single family household: Cohabiting couple family: With dependent children,94,Household Spaces: Whole house or bungalow: Semi-detached,57,Transport to Work: Train,42
E02000203,59,"Passport: Europe, Non-EU",92,Ownership: Social rented: Other social rented,70,UK Identity: British only identity,48
E02000204,-74,Passport: Central and South America,75,Religion: Jewish,71,Industry: B: Mining and quarrying,47
E02000206,54,Transport to Work: On foot,87,One-person household: Other,67,Ownership: Social rented: Rents from council or Local Authority,30
E02000207,75,Employment: Never worked,75,Passport: North America and the Caribbean,51,UK Identity: Cornish only identity,26
E02000208,59,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,94,Age: 16 years and over,50,Not living in a couple,33
E02000209,-93,Ethnic Group: White,93,Age: 30 to 44,54,Marital Status: Married or in a registered civil partnership,45
E02000210,-4,Age: 0 to 4,82,Age: 25 to 29,57,Welsh: No skills in Welsh,35
E02000211,-97,Vehicles: 2 cars or vans in household,86,Unpaid Care: Provides no unpaid care,65,Vehicles: 2 cars or vans in household,34
E02000212,65,Ownership: Social rented: Rents from council or Local Authority,92,Occupation: Elementary occupations,60,Age: 65 to 74,30
E02000213,25,Part-time: 16 to 30 hours worked,85,"Industry: M: Professional, scientific and technical activities",59,Occupation: Administrative and secretarial occupations,39
E02000214,18,Other establishments,94,Passport: Central and South America,73,Occupation: Skilled trades occupations,35
E02000215,44,Highest Level of Qualification: Level 3 qualifications,97,Religion: Sikh,60,Economic Activity: Economically active,36
E02000216,46,Welsh: No skills in Welsh,84,Age: 65 to 74,60,"Main Language: No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",36
E02000217,66,Age: 75 to 84,79,Sex: Females,62,UK Identity: Other identity and at least one UK identity,47
E02000218,-23,Industry: K: Financial and insurance activities,87,Household Spaces: Caravan or other mobile or temporary structure,55,Household Spaces: Whole house or bungalow: Semi-detached,34
E02000219,80,Highest Level of Qualification: No qualifications,78,Industry: P: Education,52,Ownership: Lives rent free,49
E02000220,-7,Industry: G: Wholesale and retail trade; repair of motor vehicles and motorcycles,75,Vehicles: No cars or vans in household,68,Economic Activity: Economically inactive: Student (including full-time students),44
E02000221,5,"Ethnic Group: Black, Black British, Black Welsh, Caribbean or African",88,Industry: N: Administrative and support service activities,57,Transport to Work: Driving a car or van,43
E02000222,-97,Position: Full-time students,81,Age: 15 to 19,67,Passport: Africa,49
E02000224,-75,Economic Activity: Economically active,81,Living in a couple: Married or in a civil partnership,74,Passport: No passport,33
